Date_Extracted,Sample_ID,Vol. Filtered (mL),Ext. Date,Set,Vial,Chl_C3_Amount,Chlide_Amount,MgDVP_Amount,Chl_C2_Amount,Chl_C1_Amount,Peridinin_Amount,Ph-ide_Amount,19-But_Amount,Fuco_Amount,19-Hex-like_keto_Amount,Neo_Amount,Prasino_Amount,Viola_Amount,19-Hex_Amount,Diadino_Amount,cis-fuco_Amount,Allo_Amount,Diato_Amount,Monad_Amount,Zea_Amount,Lutein_Amount,8-Apo_Amount,Croco_Amount,Chl_b_Amount,Chl_a-like_1_Amount,Chl_C2-like_Amount,DV_Chl_a_Amount,Chl_a_Amount,Ph-tin_a_Amount,a-Car_Amount,b-Car_Amount,Tchla_(ng/L),Tchla_(ug/L),,Fuco_TChla,Chlb_TChla,C1_C2_TChla,Phaeos_Tchla,Peri_Tchla,Viola_Tchla,Zea_Tchla,Chlb_Tchla
7/14/2021,CH3,100,10/18/2021,8,13,0,409.4146772,169.7835497,3231.631754,6165.550531,104.2189306,676.8260653,0,510.3220455,0,54.68948824,47.80851715,210.0389047,0,465.4325018,116.8406786,0,291.62238,0,856.5318187,136.6210798,97.46929614,0,459.9332722,174.68929,0,645.2913587,6913.750108,880.5831573,0,291.5902612,8143.145434,8.143145434,,0.06266891,0.056481034,1.153999073,0.191254011,0.012798363,0.025793338,0.105184394,0.056481034
7/14/2021,AR2,100,10/18/2021,8,14,0,172.9333953,103.4734687,1811.319525,5179.290434,90.52452022,639.2594137,0,418.2588008,0,0,0,0,0,352.9622032,95.67651753,0,251.99019,0,603.3019067,151.4231723,88.60936979,0,405.4547388,0,0,973.8151057,4910.297627,1260.640613,0,211.2945202,6057.046128,6.057046128,,0.069053263,0.066939351,1.154128565,0.313667749,0.014945325,0,0.09960332,0.066939351
7/14/2021,SC1,100,10/18/2021,8,15,0,186.9139657,141.6701349,2052.811344,4494.547246,103.0770346,464.0021,0,327.4093538,0,60.88154351,44.04986018,164.084278,0,312.8644359,105.9261179,0,201.3862573,0,600.1157226,143.7852443,88.18292716,0,464.4518339,154.7574098,0,553.1008422,4386.686752,675.9176337,0,210.9883507,5281.45897,5.28145897,,0.061992218,0.087940063,1.239687486,0.21583425,0.019516773,0.031067983,0.113626883,0.087940063
7/14/2021,JIC1,200,10/18/2021,8,16,0,494.5288351,207.0571235,5726.408405,6543.881889,310.3860567,596.0795742,0,362.0901934,0,99.66514832,0,196.1998444,0,830.8197566,120.5992243,0,623.4201277,0,444.5811415,97.84471303,48.66121821,244.808241,793.1552332,106.1138567,0,683.1425709,10031.89839,879.9158155,0,360.7757048,11315.68366,11.31568366,,0.031998967,0.070093444,1.084361375,0.130438022,0.027429722,0.017338753,0.039288933,0.070093444
7/14/2021,CC1,100,10/18/2021,8,17,0,346.8862308,146.4868624,2859.844143,9826.436145,80.60502589,487.8512573,0,690.2251862,0,53.15934034,0,172.6758478,0,510.4708453,124.3666167,0,218.3437008,0,689.118513,140.8731943,98.11516474,0,539.2088995,180.7687534,0,705.059432,7820.672462,826.3448057,0,327.8873769,9053.386878,9.053386878,,0.076239444,0.059558805,1.401274513,0.14516071,0.008903301,0.019073066,0.076117206,0.059558805
7/14/2021,AR1,100,10/18/2021,8,18,0,230.6291355,136.3048416,2391.377622,4117.677205,139.7459678,454.2167423,0,297.2297248,0,55.0234643,0,181.8824185,0,367.4501397,98.93012323,0,397.7729035,0,600.117277,145.7258434,90.04780422,174.936423,451.1509556,162.9213937,723.3559927,0,4908.330142,821.372886,0,172.6612119,5301.880671,5.301880671,,0.056061187,0.085092627,1.227687915,0.240591916,0.026357811,0.034305264,0.11318951,0.085092627
7/14/2021,CH2,200,10/18/2021,8,19,0,237.2288477,109.7173443,1619.429108,3411.561529,56.57446486,297.0128923,0,250.6551685,0,30.4781061,18.89652519,119.4697547,0,267.5736768,60.76891151,0,181.7325952,0,433.2447403,71.36238765,42.57449293,0,286.4585512,102.358814,0,365.5456646,3639.193182,462.5293378,0,166.5020037,4344.326509,4.344326509,,0.057697129,0.065938541,1.158059973,0.174835439,0.013022609,0.027500179,0.09972656,0.065938541
7/14/2021,FB1,100,10/18/2021,8,20,0,206.8955695,135.2927475,1530.829765,4606.694217,0,410.0713292,0,404.6604013,0,0,0,0,0,297.6443116,98.50611758,0,119.40411,0,518.003312,118.9193871,92.50433884,0,373.8180231,156.7002866,0,483.0401259,4004.238811,641.3067084,0,177.1373592,4850.874793,4.850874793,,0.083420088,0.077061981,1.265240651,0.216739883,0,0,0.106785546,0.077061981
7/14/2021,SC3,100,10/18/2021,8,21,0,191.4776718,176.1829801,1795.698291,4759.182663,71.60276919,348.8647635,0,377.8815046,0,68.36266513,62.82583848,192.5729741,0,435.0516307,102.4052629,0,156.8938104,0,583.8128636,107.414203,86.14960345,0,663.7179125,154.7190767,0,566.7039421,5811.623908,726.6474916,0,296.2845859,6724.524599,6.724524599,,0.056194531,0.098701091,0.974772396,0.159938779,0.010648005,0.028637411,0.086818459,0.098701091
7/14/2021,CH1,200,10/18/2021,8,22,0,232.8570981,59.12279333,1622.884715,3855.503764,63.46729496,546.3406983,0,287.4320274,0,0,0,117.63099,0,294.7265754,72.4591172,0,232.4705408,0,532.8213807,79.52741608,48.19841422,0,289.5615648,90.85769717,0,394.9810976,4593.89096,655.6268013,0,211.5142709,5312.586853,5.312586853,,0.054103968,0.054504815,1.031209208,0.226249007,0.01194659,0.022141942,0.10029415,0.054504815
